True_Values,Predictions
2,1.1923168
3,1.2367538
1,0.3339579
2,1.2300307
7,5.0154543
2,1.0698892
2,1.1285813
3,2.6547651
6,3.8674843
3,2.1190515
2,1.0898933
0,0.9232333
4,3.0306406
5,3.778127
3,2.8916047
5,3.7307177
-1,0.24150454
6,4.5763254
4,2.8510613
12,9.260504
2,1.144349
1,0.37335634
2,1.16295
6,4.02954
4,3.2390716
2,1.6857885
9,7.471733
5,3.047884
15,13.887094
1,0.74851465
6,4.0938387
6,4.5516534
12,9.845309
5,4.1487722
4,3.5689983
2,2.1519723
5,4.003459
3,2.4089642
3,2.6467662
3,2.7625446
4,3.0594516
1,1.401227
3,2.8765676
3,2.8893
2,1.5482603
3,3.0300474
7,5.059641
2,2.104012
3,2.4433427
3,2.6818402
2,2.1904287
4,4.0797677
2,2.3827312
2,2.6014643
3,2.98105
0,1.1696601
5,6.803813
3,2.841496
6,5.130402
0,0.6248667
4,3.1232777
2,2.947483
3,2.901804
4,3.4659824
3,3.127596
1,2.4900184
2,2.4140263
2,0.6913327
1,-0.008474479
1,0.062902085
-1,-0.9630532
1,0.19660912
2,0.5800891
2,0.8761244
9,8.084109
5,5.794298
3,2.041171
9,8.438314
4,3.134171
4,2.952992
-7,-3.128789
3,2.0003333
3,1.682192
1,0.6515317
2,1.4295832
10,8.452917
12,10.119337
2,1.4799167
10,8.826135
3,2.1497378
2,2.0349846
4,2.7097807
1,1.5875447
2,1.9493566
2,1.7687061
1,1.1252226
4,3.8400693
0,0.7078655
2,1.41187
7,6.4652696
3,2.710905
8,8.009122
2,1.6968156
16,15.620317
1,1.7547804
3,2.6896102
2,1.8148805
2,2.246921
10,9.287053
11,10.789111
3,3.3540757
3,5.431772
2,2.4274282
9,8.710838
2,1.8038524
3,2.574524
9,7.9178824
0,0.43506074
4,2.7824304
4,2.9943705
2,2.221155
2,0.8478037
1,0.5556016
0,-0.39991033
2,1.1562253
2,0.7951045
2,1.0019346
6,3.9810662
2,0.9427395
2,1.4939609
7,7.122486
1,0.51775324
2,0.96745384
5,3.4088726
11,10.214054
2,0.9725542
0,0.5644227
5,3.4520662
16,15.39901
5,4.1054063
0,0.18589817
-1,-0.3934027
3,1.9815311
1,0.82342637
2,1.1553115
2,1.3426186
3,2.777618
2,1.6775509
3,2.6035614
1,0.99702346
2,1.4389838
1,0.85703444
5,4.4096923
3,2.3465986
4,2.8305936
2,1.9267421
4,2.8764296
1,1.2459593
2,1.413841
2,1.3494043
1,1.320273
1,1.0164838
2,1.4724876
2,2.1576293
1,0.40166497
